item_id,price,category
WHITE HANGING HEART T-LIGHT HOLDER,4.74,Toys
WHITE METAL LANTERN,42.54,Lighting
CREAM CUPID HEARTS COAT HANGER,46.49,Stationery
KNITTED UNION FLAG HOT WATER BOTTLE,18.87,Home Decor
RED WOOLLY HOTTIE WHITE HEART.,14.25,Stationery
SET 7 BABUSHKA NESTING BOXES,39.38,Home Decor
GLASS STAR FROSTED T-LIGHT HOLDER,14.4,Lighting
HAND WARMER UNION JACK,46.99,Stationery
HAND WARMER RED POLKA DOT,42.69,Gifts
ASSORTED COLOUR BIRD ORNAMENT,46.42,Home Decor
POPPY'S PLAYHOUSE BEDROOM ,13.46,Kitchen
POPPY'S PLAYHOUSE KITCHEN,7.8,Home Decor
FELTCRAFT PRINCESS CHARLOTTE DOLL,34.64,Toys
IVORY KNITTED MUG COSY ,46.41,Gifts
BOX OF 6 ASSORTED COLOUR TEASPOONS,9.7,Home Decor
BOX OF VINTAGE JIGSAW BLOCKS ,24.52,Toys
BOX OF VINTAGE ALPHABET BLOCKS,16.7,Stationery
HOME BUILDING BLOCK WORD,32.5,Toys
LOVE BUILDING BLOCK WORD,3.69,Home Decor
RECIPE BOX WITH METAL HEART,25.55,Kitchen
DOORMAT NEW ENGLAND,49.88,Gifts
JAM MAKING SET WITH JARS,33.14,Toys
RED COAT RACK PARIS FASHION,43.43,Gifts
YELLOW COAT RACK PARIS FASHION,29.85,Gifts
BLUE COAT RACK PARIS FASHION,40.89,Gifts
BATH BUILDING BLOCK WORD,16.12,Home Decor
ALARM CLOCK BAKELIKE PINK,38.39,Kitchen
ALARM CLOCK BAKELIKE RED ,3.98,Toys
ALARM CLOCK BAKELIKE GREEN,39.78,Gifts
PANDA AND BUNNIES STICKER SHEET,27.52,Kitchen
STARS GIFT TAPE ,17.46,Lighting
INFLATABLE POLITICAL GLOBE ,8.17,Stationery
VINTAGE HEADS AND TAILS CARD GAME ,23.23,Stationery
SET/2 RED RETROSPOT TEA TOWELS ,35.48,Home Decor
ROUND SNACK BOXES SET OF4 WOODLAND ,26.01,Lighting
SPACEBOY LUNCH BOX ,18.06,Home Decor
LUNCH BOX I LOVE LONDON,34.71,Gifts
CIRCUS PARADE LUNCH BOX ,7.84,Gifts
CHARLOTTE BAG DOLLY GIRL DESIGN,22.23,Stationery
RED TOADSTOOL LED NIGHT LIGHT,45.79,Gifts
 SET 2 TEA TOWELS I LOVE LONDON ,10.98,Lighting
VINTAGE SEASIDE JIGSAW PUZZLES,3.63,Gifts
MINI JIGSAW CIRCUS PARADE ,45.56,Lighting
MINI JIGSAW SPACEBOY,30.18,Stationery
MINI PAINT SET VINTAGE ,23.6,Home Decor
POSTAGE,21.22,Lighting
PAPER CHAIN KIT 50'S CHRISTMAS ,46.16,Stationery
EDWARDIAN PARASOL RED,45.02,Kitchen
RETRO COFFEE MUGS ASSORTED,24.48,Toys
SAVE THE PLANET MUG,49.19,Lighting
VINTAGE BILLBOARD DRINK ME MUG,19.23,Lighting
VINTAGE BILLBOARD LOVE/HATE MUG,27.17,Gifts
WOOD 2 DRAWER CABINET WHITE FINISH,17.14,Lighting
WOOD S/3 CABINET ANT WHITE FINISH,18.89,Lighting
WOODEN PICTURE FRAME WHITE FINISH,44.5,Stationery
WOODEN FRAME ANTIQUE WHITE ,43.17,Toys
VICTORIAN SEWING BOX LARGE,8.43,Stationery
HOT WATER BOTTLE TEA AND SYMPATHY,38.67,Gifts
RED HANGING HEART T-LIGHT HOLDER,13.46,Toys
JUMBO BAG PINK POLKADOT,6.52,Stationery
JUMBO  BAG BAROQUE BLACK WHITE,13.32,Lighting
JUMBO BAG CHARLIE AND LOLA TOYS,28.57,Kitchen
STRAWBERRY CHARLOTTE BAG,20.11,Stationery
RED 3 PIECE RETROSPOT CUTLERY SET,41.57,Lighting
BLUE 3 PIECE POLKADOT CUTLERY SET,8.56,Lighting
SET/6 RED SPOTTY PAPER PLATES,12.42,Kitchen
LUNCH BAG RED RETROSPOT,42.64,Lighting
STRAWBERRY LUNCH BOX WITH CUTLERY,11.3,Kitchen
LUNCH BOX WITH CUTLERY RETROSPOT ,48.04,Stationery
