antecedent,consequent,confidence
sugar,set 3 retrospot tea,1.0
set 3 retrospot tea,sugar,1.0
airline lounge,metal sign,1.0
set 3 retrospot tea,sugar,1.0
sugar,set 3 retrospot tea,1.0
sugar,coffee,1.0
set 3 retrospot tea,coffee,1.0
hot pink,feather pen,1.0
sugar,set 3 retrospot tea,1.0
set 3 retrospot tea,sugar,1.0
sugar,coffee,1.0
 retro spot,birthday card,1.0
 shed,key fob ,1.0
 back door,key fob ,1.0
 back door,key fob ,1.0
 front  door,key fob ,1.0
fancy font birthday card,,1.0
birthday card, retro spot,1.0
jam making set printed,dotcom postage,0.9587155963302751
herb marker parsley,herb marker rosemary,0.9530516431924881
regency tea plate pink,regency tea plate green,0.9479553903345725
herb marker parsley,herb marker thyme,0.944186046511628
herb marker thyme,herb marker rosemary,0.9324894514767933
wooden heart christmas scandinavian,wooden star christmas scandinavian,0.9277108433734939
herb marker rosemary,herb marker thyme,0.9208333333333334
charlotte bag pink polkadot,red retrospot charlotte bag,0.9201520912547528
charlotte bag pink polkadot,red retrospot charlotte bag,0.918918918918919
herb marker rosemary,herb marker parsley,0.918552036199095
regency tea plate green,regency tea plate roses,0.9172661870503598
regency tea plate pink,regency tea plate green,0.9114754098360657
regency cakestand 3 tier,green regency teacup and saucer,0.9093655589123868
regency tea plate green,regency tea plate roses,0.9078947368421053
regency tea plate roses,roses regency teacup and saucer,0.9062499999999999
pink regency teacup and saucer,green regency teacup and saucer,0.9048414023372287
charlotte bag suki design,red retrospot charlotte bag,0.904059040590406
herb marker parsley,herb marker rosemary,0.903361344537815
herb marker thyme,herb marker parsley,0.89873417721519
herb marker rosemary,herb marker parsley,0.8958333333333333
set/6 red spotty paper cups,set/6 red spotty paper plates,0.8952702702702703
herb marker parsley,herb marker thyme,0.8949579831932774
herb marker rosemary,herb marker basil,0.8916666666666667
herb marker parsley,herb marker mint,0.8907563025210083
herb marker parsley,herb marker basil,0.8907563025210083
herb marker thyme,herb marker basil,0.8860759493670887
herb marker basil,herb marker rosemary,0.884297520661157
herb marker mint,herb marker parsley,0.8833333333333333
herb marker mint,herb marker rosemary,0.8833333333333333
herb marker rosemary,herb marker mint,0.8833333333333333
jumbo bag red retrospot,dotcom postage,0.8829787234042554
regency tea plate pink,regency tea plate roses,0.8819672131147542
regency cakestand 3 tier,roses regency teacup and saucer,0.8775510204081634
herb marker basil,herb marker parsley,0.8760330578512396
regency cakestand 3 tier,green regency teacup and saucer,0.8749999999999999
jumbo storage bag suki,jumbo bag red retrospot,0.8728813559322034
herb marker thyme,herb marker mint,0.869198312236287
herb marker basil,herb marker thyme,0.8677685950413224
jumbo storage bag suki,jumbo bag red retrospot,0.8673139158576051
herb marker mint,herb marker basil,0.8666666666666667
poppy's playhouse livingroom,poppy's playhouse kitchen,0.8615384615384616
charlotte bag pink polkadot,red retrospot charlotte bag,0.8601583113456465
charlotte bag suki design,red retrospot charlotte bag,0.8595890410958904
jumbo storage bag suki,dotcom postage,0.8595744680851064
herb marker basil,herb marker mint,0.859504132231405
charlotte bag pink polkadot,red retrospot charlotte bag,0.859437751004016
herb marker mint,herb marker thyme,0.8583333333333334
charlotte bag suki design,red retrospot charlotte bag,0.858085808580858
